Date,Opponent,Competition,Goals For,Goals Against,Possession ,Shots,Opp Shots,Passes Completed,Possession Minutes,Contested Possession,Opp Possession Minutes,"Competition Adjustment (1 = Playoffs, 2 = MLS Flex Event, 3 = Team Sucks)",Goal Differential,Win/Loss/Draw Adjustment,Total Possession,Passes per Minute (in Possession)
11/19/2023,U15 Oakwood,MLS Next,6,0,63%,21,7,227,18,52,11,3,6,1,81,2.80
11/19/2023,U19 Oakwood,MLS Next,7,1,59%,33,3,314,22,54,16,3,6,1,92,3.41
9/17/2023,U19 Gottschee,MLS Next,0,0,49%,4,17,153,13,67,14,2,0,0.5,94,1.63
10/22/2023,U19 NYSC,MLS Next,4,1,65%,9,17,327,24,55,13,2,3,1,92,3.55
10/21/2023,U19 Westchester,MLS Next,4,3,,,,,,,,2,1,1,0,#DIV/0!
10/1/2023,U19 Cedar Stars,MLS Next,6,1,42%,11,21,164,13,61,17,2,5,1,91,1.80
10/22/2023,U17 NYSC,MLS Next,5,2,,,,,,,,,3,1,0,#DIV/0!
10/21/2023,U17 Westchester,MLS Next,2,5,,,,,,,,,-3,0,0,#DIV/0!
10/1/2023,U16 Cedar Stars,MLS Next,1,2,,,,,,,,,-1,0,0,#DIV/0!
10/21/2023,U16 Westchester,MLS Next,3,1,,,,,,,,,2,1,0,#DIV/0!
